"","year","Infant mortality rate","Neonatal mortality rate","Under 5 mortality rate","Maternal Mortality rate","ISO"
"1",2000,90.5,60.9,129.2,1450,"AFG"
"2",2001,87.9,59.7,125.2,1390,"AFG"
"3",2002,85.3,58.5,121.1,1300,"AFG"
"4",2003,82.7,57.2,116.9,1240,"AFG"
"5",2004,80,55.9,112.6,1180,"AFG"
"6",2005,77.3,54.6,108.4,1140,"AFG"
"7",2006,74.6,53.2,104.1,1120,"AFG"
"8",2007,71.9,51.7,99.9,1090,"AFG"
"9",2008,69.2,50.3,95.7,1030,"AFG"
"10",2009,66.7,48.9,91.7,993,"AFG"
"11",2010,64.2,47.4,87.8,954,"AFG"
"12",2011,61.8,46,84,905,"AFG"
"13",2012,59.5,44.6,80.3,858,"AFG"
"14",2013,57.3,43.2,76.9,810,"AFG"
"15",2014,55.2,41.9,73.6,786,"AFG"
"16",2015,53.2,40.5,70.4,701,"AFG"
"17",2016,51.3,39.3,67.5,673,"AFG"
"18",2017,49.5,38.2,64.8,638,"AFG"
"19",2018,47.9,37.2,62.3,NA,"AFG"
"20",2019,46.4,36.1,60.1,NA,"AFG"
"21",2000,85.55713132,37.67115207,137.5449914,777,NA
"22",2001,82.53188388,36.86857678,132.1296314,751,NA
"23",2002,79.36310008,36.03043776,126.4633285,732,NA
"24",2003,76.24338583,35.1846309,120.8348265,710,NA
"25",2004,73.22076952,34.32607447,115.4043538,680,NA
"26",2005,70.28120223,33.50210187,110.1448593,643,NA
"27",2006,67.58222948,32.74777947,105.2067126,608,NA
"28",2007,64.90957431,31.97290805,100.2209939,577,NA
"29",2008,62.38313267,31.262069,95.33053644,551,NA
"30",2009,59.98633496,30.56522362,90.5094233,526,NA
"31",2010,57.79580247,29.88193945,86.11572214,501,NA
"32",2011,55.67965817,29.22051347,82.05748353,480,NA
"33",2012,53.73743013,28.57428522,78.25007097,462,NA
"34",2013,52.00407493,27.95688633,74.81667325,446,NA
"35",2014,50.41558946,27.348936,71.79495789,433,NA
"36",2015,48.95864126,26.7837127,69.13815746,419,NA
"37",2016,47.52724371,26.22490573,66.51592775,408,NA
"38",2017,46.1081401,25.69128825,64.24399372,398,NA
"39",2018,44.79522074,25.13165636,62.07293632,NA,NA
"40",2019,43.59125166,24.5979354,60.05415038,NA,NA
"41",2000,99.16617376,43.95216135,169.4711147,1000,NA
"42",2001,96.5793404,42.90921397,164.3553376,987,NA
"43",2002,93.92350562,41.84866308,158.9838056,973,NA
"44",2003,91.2442253,40.86544028,153.6297794,954,NA
"45",2004,88.57660878,39.90788885,148.2783528,924,NA
"46",2005,86.0171123,39.00919165,143.1011193,890,NA
"47",2006,83.53945121,38.21358493,138.1644716,858,NA
"48",2007,81.17597055,37.51933436,133.4750447,834,NA
"49",2008,79.00153677,36.88893011,129.1176461,821,NA
"50",2009,77.02490628,36.26164215,125.0638226,810,NA
"51",2010,75.16024311,35.69794091,121.38325,798,NA
"52",2011,73.5080295,35.19385313,118.0393257,789,NA
"53",2012,71.96530018,34.74189555,114.9971079,778,NA
"54",2013,70.55418322,34.35797657,112.1911899,767,NA
"55",2014,69.24899712,33.95211279,109.6962866,758,NA
"56",2015,68.00160289,33.57905619,107.2916927,744,NA
"57",2016,66.67483055,33.16771618,104.637694,729,NA
"58",2017,65.31384172,32.72579699,102.0320864,717,NA
"59",2018,63.87577856,32.21974168,99.29113974,NA,NA
"60",2019,62.35233279,31.73890801,96.49428924,NA,NA
"61",2000,24.1,12.1,27.2,23,"ALB"
"62",2001,22.9,11.8,25.8,23,"ALB"
"63",2002,21.7,11.4,24.4,21,"ALB"
"64",2003,20.4,11.1,23,21,"ALB"
"65",2004,19.1,10.9,21.5,18,"ALB"
"66",2005,17.8,10.6,20,22,"ALB"
"67",2006,16.6,10,18.5,18,"ALB"
"68",2007,15.3,9.2,17.1,19,"ALB"
"69",2008,14.1,8.3,15.8,20,"ALB"
"70",2009,12.9,7.4,14.5,20,"ALB"
"71",2010,11.8,6.7,13.3,21,"ALB"
"72",2011,10.8,6.2,12.1,22,"ALB"
"73",2012,10,6,11.2,17,"ALB"
"74",2013,9.3,5.9,10.4,16,"ALB"
"75",2014,8.8,5.9,9.9,16,"ALB"
"76",2015,8.5,6,9.6,15,"ALB"
"77",2016,8.4,6.3,9.4,16,"ALB"
"78",2017,8.4,6.7,9.4,15,"ALB"
"79",2018,8.5,7.1,9.5,NA,"ALB"
"80",2019,8.6,7.5,9.7,NA,"ALB"
"81",2000,33.9,21.1,39.7,161,"DZA"
"82",2001,33.3,21.1,38.9,155,"DZA"
"83",2002,32.4,20.9,37.8,148,"DZA"
"84",2003,31.3,20.8,36.5,145,"DZA"
"85",2004,30.1,20.4,35.1,134,"DZA"
"86",2005,28.8,20.1,33.6,127,"DZA"
"87",2006,27.6,19.8,32.1,122,"DZA"
